"RK",TIERS,"PLAYER NAME",TEAM,"BYE WEEK","SOS SEASON","ECR VS. ADP"
"97",9,"Erick All Jr.",CIN,"10","2 out of 5 stars","-"
"98",9,"Tanner Conner",MIA,"12","3 out of 5 stars","-"
"99",9,"Robert Tonyan",KC,"10","3 out of 5 stars","-"
"100",9,"Devin Culp",TB,"9","3 out of 5 stars","-"
"101",9,"Durham Smythe",CHI,"5","4 out of 5 stars","-"
"102",9,"Jackson Hawes",BUF,"7","3 out of 5 stars","-"
"103",9,"Blake Whiteheart",CLE,"9","3 out of 5 stars","-"
"104",9,"Gavin Bartholomew",MIN,"6","3 out of 5 stars","-"
"105",9,"Brayden Willis",SF,"14","3 out of 5 stars","-"
"106",9,"Moliki Matavao",NO,"11","3 out of 5 stars","-"
"107",9,"Nate Adkins",DEN,"12","3 out of 5 stars","-"
"108",9,"Davis Allen",LAR,"8","4 out of 5 stars","-"
"109",9,"Ben Sims",GB,"5","2 out of 5 stars","-"
"110",9,"Connor Heyward",PIT,"5","3 out of 5 stars","-"
"111",9,"Chris Manhertz",NYG,"14","2 out of 5 stars","-"
"112",9,"Caleb Lohner",DEN,"12","3 out of 5 stars","-"
"113",9,"Shane Zylstra",DET,"8","3 out of 5 stars","-"
"114",9,"Tanner McLachlan",CIN,"10","2 out of 5 stars","-"
"115",9,"Jalin Conyers",MIA,"12","3 out of 5 stars","-"
"116",9,"James Mitchell",CAR,"14","4 out of 5 stars","-"
"117",9,"Brenden Bates",CLE,"9","3 out of 5 stars","-"
"118",9,"Jack Stoll",NO,"11","3 out of 5 stars","-"
"119",9,"David Martin-Robinson",TEN,"10","3 out of 5 stars","-"
"120",9,"Irv Smith Jr.",HOU,"6","3 out of 5 stars","-"
"121",9,"Ko Kieft",TB,"9","3 out of 5 stars","-"
"122",10,"Tucker Fisk",LAC,"12","3 out of 5 stars","-"
"123",10,"Ross Dwelley",FA,"-","-","-"
"124",10,"Zach Horton",DET,"8","3 out of 5 stars","-"
"125",10,"Joshua Simon",ATL,"5","3 out of 5 stars","-"
"126",10,"Jake Tonges",SF,"14","3 out of 5 stars","-"
"127",10,"Stephen Carlson",CHI,"5","4 out of 5 stars","-"
"128",10,"Cole Turner",WAS,"12","3 out of 5 stars","-"
"129",10,"Nick Kallerup",SEA,"8","4 out of 5 stars","-"
"130",10,"Quintin Morris",JAC,"8","3 out of 5 stars","-"
"131",10,"Brady Russell",SEA,"8","4 out of 5 stars","-"
"132",10,"Josiah Deguara",ARI,"8","5 out of 5 stars","-"
"133",10,"Keleki Latu",BUF,"7","3 out of 5 stars","-"
"134",10,"Gee Scott Jr.",NE,"14","3 out of 5 stars","-"
"135",10,"Thomas Odukoya",TEN,"10","3 out of 5 stars","-"
"136",10,"Kenny Yeboah",DET,"8","3 out of 5 stars","-"
"137",10,"Colson Yankoff",WAS,"12","3 out of 5 stars","-"
"138",10,"Nick Muse",PHI,"9","3 out of 5 stars","-"
"139",10,"Zack Kuntz",NYJ,"9","3 out of 5 stars","-"
"140",10,"Cameron Latu",PHI,"9","3 out of 5 stars","-"
"141",10,"Giovanni Ricci",MIN,"6","3 out of 5 stars","-"
"142",10,"Zach Davidson",BUF,"7","3 out of 5 stars","-"
"143",11,"Travis Vokolek",ARI,"8","5 out of 5 stars","-"
"144",11,"Sean McKeon",IND,"11","3 out of 5 stars","-"
"145",11,"Albert Okwuegbunam Jr.",LV,"8","2 out of 5 stars","-"
"146",11,"Princeton Fant",DAL,"10","2 out of 5 stars","-"
"147",11,"John FitzPatrick",GB,"5","2 out of 5 stars","-"
"148",11,"Jack Westover",NE,"14","3 out of 5 stars","-"
"149",11,"E.J. Jenkins",PHI,"9","3 out of 5 stars","-"
"150",11,"Nikola Kalinic",FA,"-","-","-"
